Spendings
150
0
750
0
0
0
0
0
0
0
500
0
0
380
0
200
250
0
0
0
800
0
300
0
0
0
0
0
0
400
0
0
0
0
300
400
0
0
200
0
0
200
100
0
0
0
0
500
250
0
250
0
0
150
150
1000
0
0
0
800
0
0
0
0
0
0
0
0
0
0
0
300
250
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
400
0
0
0
